Order ID,Product ID,Customer ID,Address ID,Sales,Quantity,Discount,Profit,Shipping Cost
ES-2012-1706068,OFF-ST-10000288,MO-17500,1054,1309.203,7,0.1,494.403,197.03
ES-2013-2795403,FUR-BO-10002781,RC-19825,1054,1050.732,6,0.1,315.072,90.62
ES-2012-1706068,OFF-AR-10003629,MO-17500,1054,170.46,3,0.0,25.56,22.56
ES-2012-5677397,OFF-EN-10004597,JC-15340,1054,128.34,6,0.0,0.0,19.48
ES-2012-1706068,OFF-AR-10003117,MO-17500,1054,87.03,3,0.0,35.64,11.91
ES-2012-4741068,OFF-BI-10001058,MA-17995,1054,101.76,2,0.0,46.8,8.42
ES-2012-1706068,OFF-BI-10001138,MO-17500,1054,59.16,2,0.0,10.02,7.15
ES-2012-1706068,OFF-BI-10003702,MO-17500,1054,63.45,5,0.0,29.1,6.44
ES-2013-5731690,OFF-AR-10000124,GZ-14545,1054,53.55,3,0.0,4.23,6.34
ES-2012-3346363,OFF-FA-10004139,TS-21655,1054,26.04,2,0.0,1.02,5.31
ES-2012-5104765,FUR-BO-10001834,VP-21760,1054,521.856,4,0.1,81.096,4.73
ES-2012-3290540,TEC-MA-10002267,DJ-13630,1054,50.04,1,0.0,14.49,3.51
ES-2013-2795403,OFF-BI-10000081,RC-19825,1054,58.59,7,0.0,21.63,3.17
ES-2011-5961845,OFF-BI-10001253,TB-21520,1054,41.04,3,0.0,12.24,1.66
ES-2012-1706068,OFF-AR-10000659,MO-17500,1054,60.54,2,0.0,20.58,1.5
ES-2012-3346363,OFF-BI-10003152,TS-21655,1054,9.54,2,0.0,4.08,0.99
ES-2013-2593505,OFF-BI-10001119,JE-15715,1054,11.82,2,0.0,1.02,0.46
ES-2013-3505557,FUR-BO-10004388,LL-16840,3858,979.695,3,0.1,283.005,81.97
ES-2013-3286671,OFF-EN-10004759,JM-15265,18097,138.69,3,0.0,58.23,14.81
ES-2013-3286671,OFF-LA-10000379,JM-15265,18097,68.04,6,0.0,10.8,5.93
ES-2013-3286671,OFF-AP-10001568,JM-15265,18097,116.52,2,0.0,51.24,5.42
ES-2013-3286671,FUR-FU-10004483,JM-15265,18097,64.08,4,0.0,32.04,4.03
NI-2014-8880,TEC-CIS-10001717,TC-10980,10757,196.272,1,0.7,-170.118,30.21
